Start : 2025-03-25T15:38:52.506Z
Connection established 
data={"name":"Провід ПВ-3-4","techUnits":"м","techToAcc":1,"accUnits":"м","price":0,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Провід ПВ-3-6","techUnits":"м","techToAcc":1,"accUnits":"м","price":0,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Провід ПВ-3-10","techUnits":"м","techToAcc":1,"accUnits":"м","price":0,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Провід ПВ-3-16","techUnits":"м","techToAcc":1,"accUnits":"м","price":75,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Провід ПВ-3-25","techUnits":"м","techToAcc":1,"accUnits":"м","price":120,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Провід ПВ-3-35","techUnits":"м","techToAcc":1,"accUnits":"м","price":0,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Провід ПВС 4х0,75 мм2","techUnits":"м","techToAcc":1,"accUnits":"м","price":20,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Провід ПВС 3х0,75 мм2","techUnits":"м","techToAcc":1,"accUnits":"м","price":15,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Каб.нак.; д8/16мм2","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":8,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Петля ШД-2; TVD","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":33,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Клей ТИ-1К-Х","techUnits":"м3","techToAcc":1500,"accUnits":"кг","price":50,"weightTech":null}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Цегла 23А, 115х230х65","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":0,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Цегла 23А Morgan, 115х230х65","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":0,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Цегла 26А, 115х230х65","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":0,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Цегла 26А Morgan, 115х230х65","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":0,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Цегла ША-№5, 115х230х65","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":45,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
